view,kind,lag,layer,head,value,count
post_rope,k,2,1,0,0.9990829163127475,18
post_rope,k,2,1,1,0.8472804327805837,18
post_rope,k,2,1,2,0.8365245891941918,18
post_rope,k,2,1,3,0.8964451650778452,18
post_rope,k,2,2,-1,0.8422645794020759,72
post_rope,k,2,2,0,0.5951942801475525,18
post_rope,k,2,2,1,0.9492909179793464,18
post_rope,k,2,2,2,0.9225634237130483,18
post_rope,k,2,2,3,0.9020097023910947,18
post_rope,k,2,3,-1,0.8975781434112124,72
post_rope,k,2,3,0,0.988190190659629,18
post_rope,k,2,3,1,0.7435613009664748,18
post_rope,k,2,3,2,0.9036437571048737,18
post_rope,k,2,3,3,0.95491733484798,18
post_rope,k,2,4,-1,0.6800981925593482,72
post_rope,k,2,4,0,0.7358527481555939,18
post_rope,k,2,4,1,0.4332093099753062,18
post_rope,k,2,4,2,0.8209726744227939,18
post_rope,k,2,4,3,0.7303580145041147,18
post_rope,k,2,5,-1,0.7545186380545298,72
post_rope,k,2,5,0,0.8421188692251841,18
post_rope,k,2,5,1,0.8260386950439877,18
post_rope,k,2,5,2,0.6814470887184143,18
post_rope,k,2,5,3,0.6684698992305331,18
post_rope,k,2,6,-1,0.7999892003006406,72
post_rope,k,2,6,0,0.6418569982051849,18
post_rope,k,2,6,1,0.8342962198787265,18
post_rope,k,2,6,2,0.9369384580188327,18
post_rope,k,2,6,3,0.7868651184770796,18
post_rope,k,2,7,-1,0.8474740650918748,72
post_rope,k,2,7,0,0.8394613034195371,18
post_rope,k,2,7,1,0.802994406885571,18
post_rope,k,2,7,2,0.8611748483445909,18
post_rope,k,2,7,3,0.8862656818495857,18
post_rope,k,2,8,-1,0.7441239390108321,72
post_rope,k,2,8,0,0.7595522238148583,18
post_rope,k,2,8,1,0.8294029699431525,18
post_rope,k,2,8,2,0.7897736761305068,18
post_rope,k,2,8,3,0.5977669275469251,18
post_rope,k,2,9,-1,0.8147596021493276,72
post_rope,k,2,9,0,0.812718907992045,18
post_rope,k,2,9,1,0.8117278284496732,18
post_rope,k,2,9,2,0.8279244866636064,18
post_rope,k,2,9,3,0.80666716893514,18
post_rope,k,2,10,-1,0.8093679116831886,72
post_rope,k,2,10,0,0.8148543470435672,18
post_rope,k,2,10,1,0.8148590988583035,18
post_rope,k,2,10,2,0.8121026621924506,18
post_rope,k,2,10,3,0.7956555353270637,18
post_rope,k,2,11,-1,0.7405104405350156,72
post_rope,k,2,11,0,0.7009630103905996,18
post_rope,k,2,11,1,0.7237904998991225,18
post_rope,k,2,11,2,0.7714792622460259,18
post_rope,k,2,11,3,0.765809029340744,18
post_rope,k,2,12,-1,0.748465379079183,72
post_rope,k,2,12,0,0.8839944203694662,18
post_rope,k,2,12,1,0.6699428227212694,18
post_rope,k,2,12,2,0.7504062917497423,18
post_rope,k,2,12,3,0.6895179781648848,18
post_rope,k,2,13,-1,0.8581586645709144,72
post_rope,k,2,13,0,0.9632456766234504,18
post_rope,k,2,13,1,0.7448739806811014,18
post_rope,k,2,13,2,0.8738328384028541,18
post_rope,k,2,13,3,0.8506821393966675,18
post_rope,k,2,14,-1,0.7001140746805403,72
post_rope,k,2,14,0,0.6122087140878042,18
post_rope,k,2,14,1,0.7318164772457547,18
post_rope,k,2,14,2,0.7378187345133888,18
post_rope,k,2,14,3,0.7186123198933072,18
post_rope,k,2,15,-1,0.7338333527247111,72
post_rope,k,2,15,0,0.702466391854816,18
post_rope,k,2,15,1,0.6883411076333787,18
post_rope,k,2,15,2,0.6388096544477675,18
post_rope,k,2,15,3,0.9057162205378214,18
post_rope,k,2,16,-1,0.7972353564368354,72
post_rope,k,2,16,0,0.8094929887188805,18
post_rope,k,2,16,1,0.7687749167283376,18
post_rope,k,2,16,2,0.752249128288693,18
post_rope,k,2,16,3,0.8584243688318465,18
post_rope,k,2,17,-1,0.7451018691062927,72
post_rope,k,2,17,0,0.7435566816065047,18
post_rope,k,2,17,1,0.7567263212468889,18
post_rope,k,2,17,2,0.7317902859714296,18
post_rope,k,2,17,3,0.7483341693878174,18
post_rope,k,2,18,-1,0.8182661467128329,72
post_rope,k,2,18,0,0.7971974346372817,18
post_rope,k,2,18,1,0.85594818327162,18
post_rope,k,2,18,2,0.7718573146396213,18
post_rope,k,2,18,3,0.8480616675482856,18
post_rope,k,2,19,-1,0.8143514328532748,72
post_rope,k,2,19,0,0.9671331014898088,18
post_rope,k,2,19,1,0.7514732877413431,18
post_rope,k,2,19,2,0.7223873171541426,18
post_rope,k,2,19,3,0.8164120515187582,18
post_rope,k,2,20,-1,0.7752091156111823,72
post_rope,k,2,20,0,0.8000681102275848,18
post_rope,k,2,20,1,0.7818356222576566,18
post_rope,k,2,20,2,0.7758365107907189,18
post_rope,k,2,20,3,0.743096242348353,18
post_rope,k,2,21,-1,0.8079031540287865,72
post_rope,k,2,21,0,0.7902547352843814,18
post_rope,k,2,21,1,0.8585609131389194,18
post_rope,k,2,21,2,0.7774026095867157,18
post_rope,k,2,21,3,0.8053943415482839,18
post_rope,k,2,22,-1,0.7801436020268334,72
